detected_name,verdict,vessel_type,vessel_class,imo,confidence,evidence_url,notes
INTERNATIONAL LOAD LINE,NOT_VESSEL,,,,high,,Maritime regulation term (ICLL); not a vessel
ENDORSEMENT WHERE THE,NOT_VESSEL,,,,high,,Sentence fragment from certificate text; not a vessel
MARAN ITEMS,NOT_VESSEL,,,,high,,Sentence fragment 'Maran items...'; not a vessel
MARAN MAIL,NOT_VESSEL,,,,high,,Refers to Maran email/mail; not a vessel
MARAN TANKERPS,NOT_VESSEL,,,,high,,Typo of 'Maran Tankers' company name; not a vessel
MARAN ARCTURUSCONSIGNEE,NOT_VESSEL,,,,high,,Concatenation extraction artifact: MARAN ARCTURUS (in register) + 'consignee'
MARAN CONFIRMATION,NOT_VESSEL,,,,high,,Sentence fragment; not a vessel
MARAN TYPE,NOT_VESSEL,,,,high,,Sentence fragment; not a vessel
WHILE CELL,NOT_VESSEL,,,,high,,Sentence fragment; not a vessel
SWL PEDESTAL MOUNTED,NOT_VESSEL,,,,high,,SWL = Safe Working Load (crane/lifting term); not a vessel
SWL BOSUN STORE,NOT_VESSEL,,,,high,,SWL = Safe Working Load; bosun store is a ship compartment label; not a vessel
SWL PUMP ROOM,NOT_VESSEL,,,,high,,SWL = Safe Working Load; pump room compartment label; not a vessel
MARAN GLORY DOIRANIS,NOT_VESSEL,,,,high,,MARAN GLORY (real vessel) + 'Doiranis' (street where Maran Dry HQ sits in Athens); extraction noise
MARAIN AJAX,NOT_VESSEL,,,,high,,Typo of MARAN AJAX (already in canonical register); extraction noise
ESTIMATED PAL SCHEDULE,NOT_VESSEL,,,,high,,Schedule fragment; not a vessel
ROB AFTER BUNKERING,NOT_VESSEL,,,,high,,Bunker terminology; not a vessel
MARAN HERMESIMPORTANT,NOT_VESSEL,,,,high,,Concatenation: MARAN HERMES (in register) + 'important'; extraction noise
MARAN HERMIONECONSIGNEE,NOT_VESSEL,,,,high,,Concatenation: MARAN HERMIONE (in register) + 'consignee'; extraction noise
DRAUGHT LOADED,NOT_VESSEL,,,,high,,Loading-condition term; not a vessel
SOPHIA CALLING ROTTERDAM,NOT_VESSEL,,,,high,,SOPHIA (in register) + sentence fragment; extraction noise
SOPHIA BUNSCHOTENWEG,NOT_VESSEL,,,,high,,SOPHIA + Bunschotenweg (a Rotterdam street name); extraction noise
MARAN ATALANTACONSIGNEE,NOT_VESSEL,,,,high,,Concatenation: MARAN ATALANTA (in register) + 'consignee'; extraction noise
MARAN GOOD,NOT_VESSEL,,,,high,,Sentence fragment 'Maran good...'; not a vessel
MARAN NON,NOT_VESSEL,,,,high,,Sentence fragment 'Maran non-...'; not a vessel
MARAN HERCULESCONSIGNEE,NOT_VESSEL,,,,high,,Concatenation: MARAN HERCULES (in register) + 'consignee'; extraction noise
BOG COMPRESSOR STOPPED,NOT_VESSEL,,,,high,,BOG = Boil-Off Gas (LNG carrier term); equipment status not a vessel
MARAN STOCK,NOT_VESSEL,,,,high,,Sentence fragment; not a vessel
MARAN COMMERCIALLY,NOT_VESSEL,,,,high,,Sentence fragment; not a vessel
MARAN FOR,NOT_VESSEL,,,,high,,Sentence fragment 'Maran for...'; not a vessel
INPSH LAT,NOT_VESSEL,,,,high,,Coordinate/abbreviation fragment (likely 'in position lat'); not a vessel
THE METER,NOT_VESSEL,,,,high,,Sentence fragment; not a vessel
MARAN TENKERS,NOT_VESSEL,,,,high,,Typo of 'Maran Tankers' company name; not a vessel
MARAN MANAGEMEM,NOT_VESSEL,,,,high,,Typo of 'Maran Management'; not a vessel
MARAN POSSIBILITY,NOT_VESSEL,,,,high,,Sentence fragment; not a vessel
MARAN ANTONIS,NOT_VESSEL,,,,high,,Truncated reference to ANTONIS I. ANGELICOUSSIS; extraction noise
ROB GRADE ZJQCMQRYFPFPTBANNERSTART,NOT_VESSEL,,,,high,,ROB GRADE + tracking-pixel/banner gibberish; extraction noise
ANODE AMP,NOT_VESSEL,,,,high,,Cathodic-protection measurement term; not a vessel
MARAN MANAGEMENT,NOT_VESSEL,,,,high,,Refers to Maran management company; not a vessel
CHIEF ENGINEER,NOT_VESSEL,,,,high,,Crew job title; not a vessel
MARAN WAREHOUSE,NOT_VESSEL,,,,high,,Refers to Maran warehouse; not a vessel
ORPHEUS DELIVERED,NOT_VESSEL,,,,high,,Truncated reference to MARAN ORPHEUS (in register) + verb; extraction noise
SEAVISION WHICH,NOT_VESSEL,,,,high,,SeaVision is a software system; sentence fragment with trailing 'which'
NMARAN CAPRICORN ASF,NOT_VESSEL,,,,high,,Concatenation noise around MARAN CAPRICORN (already in register); extraction artifact
DMA MET THE,NOT_VESSEL,,,,high,,DMA = Distillate Marine A (fuel grade); sentence fragment; not a vessel
